Country,Active Cases,Confirmed Cases,Hospital Beds Per 1K HBA,Shortage of Bed Per 1K Case
United States,669903,784326,2.9,231.00102688621564
United Kingdom,108860,125856,2.9,37.537929800035876
Italy,108237,181228,3.4,31.834410871774704
Spain,98771,200210,3.1,31.861613883406545
France,98152,156480,6.4,15.33624977147207
Turkey,75410,90980,2.5,30.163999999999998
Germany,50703,147065,8.2,6.18329282675238
Russia,43270,47121,9.7,4.460824829982971
Netherlands,29502,33588,4.7,6.277021531329115
Belgium,25260,39983,6.5,3.8861538461538463
